%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069390033136658,156,1708104590000000000,GPS1_Frame,42.33723275,-71.08691255666666,4.31,328078.8260689626,4689329.082873806,19,T,1.2,,4
1708069391038983230,157,1708104591000000000,GPS1_Frame,42.33723275,-71.08691255833334,4.31,328078.8259316542,4689329.082877176,19,T,1.4,,4
1708069392043762413,158,1708104592000000000,GPS1_Frame,42.337232748333335,-71.08691256,4.31,328078.82578980585,4689329.082695475,19,T,1.4,,4
1708069393050603440,159,1708104593000000000,GPS1_Frame,42.337232748333335,-71.08691256,4.31,328078.82578980585,4689329.082695475,19,T,1.4,,4
1708069394057803263,160,1708104594000000000,GPS1_Frame,42.337232193333335,-71.08691371833334,4.34,328078.7288491077,4689329.023408951,19,T,1.4,,5
1708069395061774573,161,1708104595000000000,GPS1_Frame,42.33723212,-71.08691414333333,4.339,328078.69363602996,4689329.016125135,19,T,1.4,,5
1708069396068723434,162,1708104596000000000,GPS1_Frame,42.337232075,-71.08691459833334,4.334,328078.656028641,4689329.0120481765,19,T,1.4,,5
1708069397076467034,163,1708104597000000000,GPS1_Frame,42.33723207,-71.086915,4.328,328078.62292408006,4689329.012305079,19,T,1.4,,5
1708069398084501245,164,1708104598000000000,GPS1_Frame,42.337232013333335,-71.08691545333333,4.33,328078.5854222076,4689329.006929257,19,T,1.4,,5
1708069399092233841,165,1708104599000000000,GPS1_Frame,42.337231941666666,-71.08691583833334,4.334,328078.5535090307,4689328.999749638,19,T,1.2,,5
1708069400099618361,166,1708104600000000000,GPS1_Frame,42.33723191333333,-71.086916235,4.338,328078.5207528031,4689328.997405444,19,T,1.2,,5
1708069401106924806,167,1708104601000000000,GPS1_Frame,42.337231895,-71.086916625,4.338,328078.4885730528,4689328.996158195,19,T,1.4,,5
1708069402112767805,168,1708104602000000000,GPS1_Frame,42.337231863333336,-71.08691686,4.336,328078.46912649856,4689328.993116991,19,T,1.4,,5
1708069403117544443,169,1708104603000000000,GPS1_Frame,42.337231876666664,-71.08691718833333,4.333,328078.44211339636,4689328.995261402,19,T,1.4,,5
1708069404126931336,170,1708104604000000000,GPS1_Frame,42.337231851666665,-71.08691742333333,4.332,328078.42268501,4689328.99296048,19,T,1.4,,5
